,Neighborhood_FID,buildings_total_units,n_occupied_by_owner,n_ownership_with_current_household,n_owned_without_current_household,n_rented_for_residential_purposes,n_rented_with_current_household,n_rented_without_current_household,n_vacation_and_leisure,n_vacant,n_diplomatic_army,n_commercial_use,we_private_individuals,we_private_companies_legal_entities,we_public_companies,we_housing_cooperative,we_does_not_apply_since_no_condominium,w_less_30,w_30_60,w_60_100,w_100_and_more,w_gewerblich,r_1,r_2,r_3,r_4,r_5,r_6,r_7_and_more,r_gewerblich,gs_buildings_with_living_space,gs_residential_buildings,gs_residential_buildings_no_dormitories,gs_dormitory,gs_other_building_with_living_space,j_before_1919,j_1919_1948,j_1949_1978,j_1979_1995,j_1996_2008,j_2009_and_later,e_community_of_apartment_owners,e_private_persons,e_housing_cooperative,e_municipality_housing_company,e_private_housing_company,e_other_private_company,e_federal_or_state_government,e_nonprofit_organization,gt_detached_house,gt_semidetached_house,gt_terraced_house,gt_other_type_of_building,gg_detached_single_family_house,gg_onefamily_semidetached,gg_onefamily_terraced_house,gg_detached_twofamily,gg_twofamily_semidetached_house,gg_twofamily_terraced_house,gg_apartment_3_6,gg_apartment_7_12,gg_apartment_13,gg_other_building_type,h_district,h_floor,h_block,h_central,h_stoves_night,h_no_heating,z_1_apart,z_2_apart,z_3_6_apart,z_7_12_apart,z_13_and_more_apart,families_total_units,famk_couple_wout_child,famk_couple_1_child_less_18,famk_couple_children_more_18,famk_reg_partner_wout_child,famk_reg_partner_1_child_less_18,famk_reg_partner_children_more_18,famk_nonmarital_wout_child,famk_nonmarital_1_child_less_18,famk_nonmarital_children_more_18,famk_fathers_1_child_less_18,famk_fathers_children_more_18,famk_mothers_1_child_less_18,famk_mothers_children_more_18,famk_wout_child,famk_with_child,famk_single_parent,famk_couple,famk_reg_partner,famk_nonmarital,famk_fathers,famk_mothers,famgr_2_pers,famgr_3_pers,famgr_4_pers,famgr_5_pers,famgr_6_more,fams_seniors_only_x,fams_seniors_young_x,fams_wout_seniors_x,households_total_units,hhtyp_single,hhtyp_couples_wout_child,hhtyp_couples_with_child,hhtyp_single_parent,hhtyp_multiplepers_wout_nuclear,hhleb_single,hhleb_married_couples,hhleb_registered_partner,hhleb_nonmarital_partner,hhleb_single_mothers,hhleb_single_fathers,hhleb_multipers_wout_nuclear,hhgr_1_pers,hhgr_2_pers,hhgr_3_pers,hhgr_4_pers,hhgr_5_pers,hhgr_6_more,fams_seniors_only_y,fams_seniors_young_y,fams_wout_seniors_y,population_total_units,al_10_under,al_10_19,al_20_29,al_30_39,al_40_49,al_50_59,al_60_69,al_70_79,al_80_over,alk_18_under,alk_18_29,alk_30_49,alk_50_64,alk_65_over,fam_single,fam_married,fam_widowed,fam_divorced,fam_civil_partner,fam_civil_partner_deceased,fam_civil_partner_dissolved,fam_unknown,geb_germany,geb_eu27,geb_other_europe,geb_other_world,geb_other,ght_male,ght_female,re_roman_catholic,re_protestant,re_other,sg_germany,sg_eu27,sg_other_europe,sg_other_world,sg_other,sh_germany,sh_bosnia,sh_greece,sh_italy,sh_kazakhstan,sh_croatia,sh_netherlands,sh_austria,sh_poland,sh_romania,sh_russia,sh_turkey,sh_ukraine,sh_other,sk_germany,sk_abroad,sz_one,sz_mult_german_foreign,sz_mult_foreign_only,sz_unknown,Land_Value,Area_Types,Area_Count,City_Name
10,11,15411,0,874,0,0,14028,0,0,437,0,0,2347,80,0,0,12929,811,8492,4880,390,0,1357,3438,5737,3743,617,140,60,0,0,0,14612,348,447,2800,3331,6132,1224,678,502,2440,3758,286,4953,1366,722,146,506,1405,2024,10659,1250,3,3,171,30,3,131,4030,5915,3750,1250,2809,4489,241,7188,292,0,208,198,4163,6486,4272,5874,1910,1514,491,9,0,0,730,165,3,21,68,497,259,0,0,0,0,0,0,0,0,3381,1304,814,250,62,426,707,4742,14957,7915,2674,2231,953,1148,7915,3938,9,947,801,121,1148,7915,3992,1505,900,344,209,0,0,0,26478,2388,1854,5162,5222,4217,3209,2270,1466,688,3838,5566,9445,4504,3121,12681,10104,1108,2500,84,0,3,0,14321,3593,4223,4033,275,14078,12396,5692,3807,16979,15624,3760,4522,2543,3,15624,444,608,557,3,775,12,40,758,244,60,1948,65,5076,15624,10849,23651,2656,100,19,2354.5,CommercialBuildingArea_MixedUseArea_OtherArea_Residential_SpecialUseArea,24,Frankfurt am Main
11,12,21198,0,2645,47,0,18029,3,6,358,0,0,6033,142,5,0,14960,2013,8157,8213,1784,0,2713,4178,6875,5036,1356,409,354,0,0,0,18358,1910,925,4760,1576,9693,1236,2343,593,6202,6831,522,1896,2104,1177,271,1084,4631,1759,11746,2947,89,95,146,103,76,98,3231,8383,5826,2947,1814,5717,80,12583,459,36,416,399,4048,9115,7085,7946,2589,1929,521,15,0,0,1405,257,15,27,45,536,299,0,0,0,0,0,0,0,0,4877,1733,1015,193,20,625,883,6416,20736,11375,4075,2806,1047,1428,11375,5054,15,1751,880,108,1428,11375,5475,1987,1216,332,215,0,0,0,34903,2948,1930,7108,7779,5601,3809,2738,1876,1085,4404,7577,13384,5310,4218,18787,12024,1378,2583,131,0,0,0,23337,3885,3237,4008,391,17211,17685,7587,6716,20585,25774,3617,3089,2397,10,25774,158,471,680,7,508,25,131,495,180,111,1553,74,4394,25774,9118,31923,2806,89,17,3249.7,AgriculturalArea_MixedUseArea_OtherArea_Residential_SpecialUseArea,40,Frankfurt am Main
12,13,17470,0,2622,10,0,14316,0,3,445,0,0,5238,71,3,0,12095,695,5805,7732,2440,0,1184,2703,5047,5125,2166,631,445,0,0,0,16409,210,833,6449,2998,5126,517,1522,24,5331,6883,195,1372,1122,422,919,238,3423,2037,10689,1254,39,76,125,84,75,151,4663,6478,4373,1254,1525,5689,944,8325,443,7,293,346,5020,7040,4666,7211,2140,1819,535,32,0,0,1245,350,3,12,30,499,298,0,0,0,0,0,0,0,0,4191,1704,1039,184,24,546,841,5794,16971,8983,3453,2777,971,754,8983,4521,35,1630,857,83,754,8983,4345,1916,1129,329,149,0,0,0,29400,2737,1793,4444,6293,5209,3373,2691,1818,1010,4200,4784,11509,4830,4050,15513,10404,1223,2120,145,0,0,0,21056,3087,2170,2773,256,14173,15227,6783,6168,16435,22922,2867,2000,1587,9,22922,181,178,556,3,437,37,185,286,173,80,625,47,3423,22922,6470,27262,1987,82,18,4744.4,AgriculturalArea_CommercialBuildingArea_MixedUseArea_OtherArea_Residential_SpecialUseArea,30,Frankfurt am Main
13,14,15457,0,3729,0,0,11030,119,19,441,0,0,6499,496,6,0,8387,563,5157,6016,2470,0,1305,2604,4769,3590,1484,581,774,0,0,0,14308,926,194,1443,1069,9604,1631,797,52,7031,4593,301,607,1089,223,890,107,5971,2531,4662,2156,457,259,420,392,298,147,3031,4178,3903,2156,1529,2995,966,9072,327,3,1228,876,3187,4748,5312,6442,2317,1456,573,27,0,0,791,177,3,6,37,347,250,0,0,0,0,0,0,0,0,3818,1483,807,127,6,882,985,4507,14833,7869,3179,2378,805,466,7869,4464,30,1071,668,59,466,7869,3889,1539,915,268,126,0,0,0,25983,2095,1631,3376,4371,4253,3045,3106,2459,1523,3410,3714,8639,4651,5523,11844,10307,1548,2134,132,0,3,0,18881,2661,1744,2273,321,12471,13480,5865,6012,14080,20961,2053,1586,1320,0,20961,137,105,366,0,367,17,115,265,77,76,514,47,2632,20961,5017,24353,1512,40,9,2054.4,AgriculturalArea_CommercialBuildingArea_ForestryArea_MixedUseArea_OtherArea_Residential,39,Frankfurt am Main
14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,8,0,0,0,3,0,0,0,9,0,3,0,10,0,0,0,0,0,0,0,10,0,0,0,0,7,5,6,0,5,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,12,0,0,0,618.0,MixedUseArea_Residential,2,Frankfurt am Main
15,16,6932,0,1577,0,0,5210,0,3,120,0,0,2594,73,7,0,4242,328,2469,3013,726,0,529,1289,2198,1779,601,250,222,0,0,0,6569,220,131,426,339,4710,650,436,3,2686,2725,44,715,218,51,43,60,2190,1011,2939,758,129,72,167,179,101,97,1370,2236,1764,758,106,1532,25,4943,96,6,418,387,1452,2374,2274,3108,1169,759,292,3,0,0,306,90,3,12,29,211,127,0,0,0,0,0,0,0,0,1795,712,443,100,17,406,423,2273,6801,3487,1484,1191,435,194,3487,2237,3,427,352,54,194,3487,1805,743,450,148,99,0,0,0,12436,1074,961,1692,2021,2058,1669,1381,1072,508,1841,1885,4078,2403,2226,5434,5187,659,1118,31,0,0,0,8440,1299,1315,1212,153,6076,6362,2739,2800,6899,9255,1127,1320,714,15,9255,75,60,222,0,237,9,23,288,108,68,603,36,1357,9255,3183,11314,1046,35,31,1515.6,AgriculturalArea_CommercialBuildingArea_MixedUseArea_OtherArea_Residential,19,Frankfurt am Main
16,17,13181,0,2070,31,0,10433,135,0,476,0,0,3530,229,7,0,9363,811,5261,5329,1074,0,1140,2483,4067,3654,1052,307,298,0,0,0,12492,266,422,1714,1653,7734,934,637,12,3783,3860,214,2796,199,298,1256,82,4073,1519,6847,666,130,109,264,122,113,86,2503,4695,4345,666,2039,3156,68,7137,437,23,567,372,2643,5036,4497,5375,1865,1373,497,9,0,0,635,151,0,6,54,387,221,0,0,0,0,0,0,0,0,3079,1248,771,171,41,579,742,4062,12535,6727,2535,2075,775,425,6727,3757,9,828,658,93,425,6727,3119,1371,858,245,140,0,0,0,21980,1894,1623,3603,3783,3471,2730,2228,1626,997,3175,3931,7258,3971,3626,10213,8826,1170,1714,66,0,0,0,14464,2419,2370,2393,296,10727,11237,5680,4231,12069,15678,2303,2510,1448,7,15678,143,141,356,3,694,27,58,286,75,53,964,36,3214,15678,6294,19981,1883,72,14,1686.2,MixedUseArea_OtherArea_Residential_SpecialUseArea,20,Frankfurt am Main
17,18,9835,0,2608,0,0,6930,3,0,204,0,0,1298,84,0,0,8410,253,2409,4654,1484,0,418,1240,2693,3020,1113,580,541,0,0,0,9201,430,202,848,1142,4992,1554,529,12,1387,3820,34,2217,668,153,726,158,3158,2603,3234,751,340,685,187,470,633,146,2605,2020,1760,751,1872,1228,18,6073,183,0,1324,1331,2707,2316,2048,5549,1932,1574,692,0,0,0,293,116,0,9,24,377,222,0,0,0,0,0,0,0,0,2798,1305,954,262,97,785,851,3907,9578,3756,2292,2469,748,206,3756,4187,0,502,655,51,206,3756,2739,1363,1029,339,205,0,0,0,20566,2189,2145,2509,2683,3118,2642,2175,2016,1078,3869,2957,5805,3817,4109,8465,9380,1370,1375,21,0,0,0,14851,1564,1809,2018,229,9947,10597,5516,4618,10404,16516,1081,1817,1066,7,16516,44,56,222,6,254,15,24,148,40,22,1136,23,1790,16516,4047,18101,2376,24,32,955.3,AgriculturalArea_ForestryArea_MixedUseArea_OtherArea_Residential,23,Frankfurt am Main
18,19,10571,0,1691,0,0,8585,3,0,225,0,0,1456,362,0,6,8709,371,3839,4446,844,0,458,1844,3885,2509,970,335,254,0,0,0,10211,25,331,2037,1431,5602,746,195,13,1840,4163,3,1826,1375,50,568,53,1770,1752,5570,1390,223,291,257,238,186,145,2800,3553,1321,1390,42,3901,191,5562,518,3,1075,611,3343,3956,1487,5424,1777,1502,575,0,0,0,514,152,6,12,100,334,195,0,0,0,0,0,0,0,0,2875,1229,870,274,99,493,718,4194,10309,4104,2320,2304,780,735,4104,3882,0,712,579,137,735,4104,2900,1457,1124,384,230,0,0,0,22233,2113,2103,3570,3545,3764,3034,1961,1377,795,3743,4030,7306,4115,3035,9423,10234,1070,1461,30,0,0,0,12429,4168,2681,2716,191,11927,10302,5938,3470,12810,14149,3312,3034,1679,26,14149,258,343,697,0,372,6,18,768,410,31,1636,43,3239,14149,8073,19322,2735,97,39,811.2,CommercialBuildingArea_MixedUseArea_OtherArea_Residential,28,Frankfurt am Main
19,20,9366,0,1438,0,0,7535,0,0,347,0,0,2243,28,34,0,7033,648,3319,3986,878,0,829,1464,2721,2734,844,283,322,0,0,0,8506,459,387,1755,674,5591,646,253,14,2325,3925,711,1084,565,77,33,46,2447,1897,4331,639,77,67,316,130,165,69,2236,3483,2058,639,44,2811,333,5506,329,68,540,402,2354,3656,2376,4233,1491,992,348,3,0,0,584,145,12,27,10,318,133,0,0,0,0,0,0,0,0,2481,905,570,181,50,482,555,3176,8993,4328,2081,1568,586,401,4328,2862,6,776,500,61,401,4328,2624,984,625,216,125,0,0,0,16956,1615,1267,2476,2832,2746,2157,1766,1318,756,2618,2749,5575,3116,2884,7850,6650,934,1466,44,0,0,0,11337,1950,1530,1903,197,8383,8571,3969,3495,9500,12387,1825,1570,1153,13,12387,95,155,381,0,263,3,22,325,65,33,762,34,2238,12387,4563,15348,1484,51,46,1339.9,CommercialBuildingArea_MixedUseArea_OtherArea_Residential,20,Frankfurt am Main
20,21,3903,0,729,0,0,3091,0,0,62,0,0,976,43,0,0,2866,726,946,1455,482,0,878,398,1010,840,438,160,134,0,0,0,3093,749,51,175,113,2762,466,201,12,1023,1020,118,256,228,53,255,715,1836,622,1324,97,47,49,188,54,80,26,725,621,1945,97,165,370,128,2967,118,0,323,175,766,651,1948,1767,593,502,192,0,0,0,131,34,3,3,12,150,65,0,0,0,0,0,0,0,0,921,395,291,84,46,220,211,1321,3834,1943,747,750,269,124,1943,1290,0,194,234,22,124,1943,950,400,313,111,92,0,0,0,7289,760,652,1360,1031,1053,869,652,530,378,1270,1503,2080,1220,1219,3419,2955,403,494,15,0,0,0,4296,619,631,1568,159,3544,3747,1349,1330,4613,5023,529,634,1091,11,5023,21,45,104,0,44,3,3,90,12,34,362,39,1434,5023,2266,6301,940,25,11,1570.1,MixedUseArea_Residential,16,Frankfurt am Main
