,Neighborhood_FID,Distance_University,Park_1,Park_2,Distance_Oper,buildings_total_units,n_occupied_by_owner,n_ownership_with_current_household,n_owned_without_current_household,n_rented_for_residential_purposes,n_rented_with_current_household,n_rented_without_current_household,n_vacation_and_leisure,n_vacant,n_diplomatic_army,n_commercial_use,we_private_individuals,we_private_companies_legal_entities,we_public_companies,we_housing_cooperative,we_does_not_apply_since_no_condominium,w_less_30,w_30_60,w_60_100,w_100_and_more,w_gewerblich,r_1,r_2,r_3,r_4,r_5,r_6,r_7_and_more,r_gewerblich,gs_buildings_with_living_space,gs_residential_buildings,gs_residential_buildings_no_dormitories,gs_dormitory,gs_other_building_with_living_space,j_before_1919,j_1919_1948,j_1949_1978,j_1979_1995,j_1996_2008,j_2009_and_later,e_community_of_apartment_owners,e_private_persons,e_housing_cooperative,e_municipality_housing_company,e_private_housing_company,e_other_private_company,e_federal_or_state_government,e_nonprofit_organization,gt_detached_house,gt_semidetached_house,gt_terraced_house,gt_other_type_of_building,gg_detached_single_family_house,gg_onefamily_semidetached,gg_onefamily_terraced_house,gg_detached_twofamily,gg_twofamily_semidetached_house,gg_twofamily_terraced_house,gg_apartment_3_6,gg_apartment_7_12,gg_apartment_13,gg_other_building_type,h_district,h_floor,h_block,h_central,h_stoves_night,h_no_heating,z_1_apart,z_2_apart,z_3_6_apart,z_7_12_apart,z_13_and_more_apart,families_total_units,famk_couple_wout_child,famk_couple_1_child_less_18,famk_couple_children_more_18,famk_reg_partner_wout_child,famk_reg_partner_1_child_less_18,famk_reg_partner_children_more_18,famk_nonmarital_wout_child,famk_nonmarital_1_child_less_18,famk_nonmarital_children_more_18,famk_fathers_1_child_less_18,famk_fathers_children_more_18,famk_mothers_1_child_less_18,famk_mothers_children_more_18,famk_wout_child,famk_with_child,famk_single_parent,famk_couple,famk_reg_partner,famk_nonmarital,famk_fathers,famk_mothers,famgr_2_pers,famgr_3_pers,famgr_4_pers,famgr_5_pers,famgr_6_more,fams_seniors_only_x,fams_seniors_young_x,fams_wout_seniors_x,households_total_units,hhtyp_single,hhtyp_couples_wout_child,hhtyp_couples_with_child,hhtyp_single_parent,hhtyp_multiplepers_wout_nuclear,hhleb_single,hhleb_married_couples,hhleb_registered_partner,hhleb_nonmarital_partner,hhleb_single_mothers,hhleb_single_fathers,hhleb_multipers_wout_nuclear,hhgr_1_pers,hhgr_2_pers,hhgr_3_pers,hhgr_4_pers,hhgr_5_pers,hhgr_6_more,fams_seniors_only_y,fams_seniors_young_y,fams_wout_seniors_y,population_total_units,al_10_under,al_10_19,al_20_29,al_30_39,al_40_49,al_50_59,al_60_69,al_70_79,al_80_over,alk_18_under,alk_18_29,alk_30_49,alk_50_64,alk_65_over,fam_single,fam_married,fam_widowed,fam_divorced,fam_civil_partner,fam_civil_partner_deceased,fam_civil_partner_dissolved,fam_unknown,geb_germany,geb_eu27,geb_other_europe,geb_other_world,geb_other,ght_male,ght_female,re_roman_catholic,re_protestant,re_other,sg_germany,sg_eu27,sg_other_europe,sg_other_world,sg_other,sh_germany,sh_bosnia,sh_greece,sh_italy,sh_kazakhstan,sh_croatia,sh_netherlands,sh_austria,sh_poland,sh_romania,sh_russia,sh_turkey,sh_ukraine,sh_other,sk_germany,sk_abroad,sz_one,sz_mult_german_foreign,sz_mult_foreign_only,sz_unknown,Area_Types,Area_Count,City_Name,Bare vegetation,Built-up,Cropland,Grassland,Herbaceous wetland,Permanent water bodies,Shrubland,Tree Cover,Number_ways,Length_ways,Distance_station,Distance_monuments,Distance_POI
57,57,5359827.616369585,5363428.792273077,5385739.161608327,5359746.725304369,6832,0,219,0,0,6489,0,0,99,0,0,979,50,0,0,5767,226,4315,1674,385,0,236,1772,2548,1566,484,89,32,0,0,0,6759,0,68,938,1859,3826,3,99,0,1036,564,1787,1436,1548,188,3,0,148,60,4696,1905,0,0,56,3,0,6,128,4328,356,1905,3687,1140,0,1839,22,0,56,12,177,5820,723,2765,1275,274,94,0,0,0,391,190,9,12,3,266,126,0,0,0,0,0,0,0,0,2072,481,161,22,3,774,222,1774,6721,3783,1682,609,472,184,3783,1671,0,618,422,39,184,3783,2199,492,170,36,6,0,0,0,10655,757,454,1467,1514,1721,1220,1119,1714,685,1116,1562,3239,1681,3047,4825,3683,827,1292,35,0,0,0,9920,387,124,137,42,5050,5602,424,1188,9040,10350,122,71,66,0,10350,0,3,6,0,0,0,3,26,4,6,15,0,160,10350,306,10500,127,0,0,Residential_SpecialUseArea,3,Berlin,524,6099,243,3809,5,449,1.0,19020,51,9685.097953272734,9040.166342709264,5362099.89126495,5359048.829846511
58,58,5358232.209902154,5361832.153189634,5384131.238539547,5358151.139558019,10195,0,1223,0,0,8663,6,0,238,0,0,1178,101,35,0,8846,36,5391,3336,815,0,204,2025,3392,2950,1095,252,96,0,0,0,10133,0,54,2541,2457,4108,286,415,3,1322,2663,2625,851,2102,171,0,3,1180,148,7332,1460,619,80,260,120,3,18,691,5714,1146,1460,1582,2611,700,4944,95,0,989,158,840,6787,1383,4523,2054,540,229,6,0,0,627,280,6,15,6,392,172,0,0,0,0,0,0,0,0,3213,832,349,45,3,1267,322,2879,9946,5138,2689,1161,648,258,5138,2876,6,945,583,37,258,5138,3338,862,413,55,24,0,0,0,17072,1178,933,2605,2114,2627,1840,1584,3004,1124,1954,2813,4744,2534,5051,7499,6369,1365,1775,44,0,0,0,15752,576,297,268,79,8018,9032,761,1950,14337,16479,167,227,147,0,16479,9,3,4,0,0,0,3,34,6,3,98,3,251,16479,578,16750,298,0,0,Residential_SpecialUseArea,5,Berlin,711,13459,0,2017,0,71,0.0,31997,135,14938.06866574481,10719.74382786241,5360503.636697506,5357453.618073665
59,59,5356088.697689668,5359688.510138317,5381986.4351454815,5356007.608270548,9863,0,1902,3,0,7666,4,3,197,0,0,1392,116,238,0,8058,12,4446,3634,988,0,263,1546,3669,2802,830,339,168,0,0,0,9763,41,54,852,2950,3526,1111,739,63,1768,2362,2057,1871,909,139,223,0,1671,340,4505,3245,810,206,290,165,28,15,836,3524,618,3245,3645,2564,6,3185,164,0,1339,252,1648,5217,1346,5203,2303,751,360,0,0,0,545,299,15,24,9,399,211,0,0,0,0,0,0,0,0,3500,1109,476,50,3,1224,424,3494,9635,4199,2884,1534,757,189,4199,3459,0,935,647,37,189,4199,3601,1132,507,59,15,0,0,0,17823,1428,1117,2221,2143,2998,2266,1993,2617,1029,2348,2430,5143,3158,4773,7106,7512,1347,1824,21,0,0,0,16665,601,166,166,94,8430,9378,679,1672,15431,17458,119,98,54,3,17458,7,3,3,0,3,0,0,46,0,6,27,6,120,17458,336,17528,241,0,8,CommercialBuildingArea_Residential_SpecialUseArea,15,Berlin,713,17992,6488,3866,0,0,0.0,36161,341,27469.573835719177,12871.771942301017,5358360.034377286,5355310.126602183
60,60,5355558.544189771,5359159.4091638895,5381467.0050413,5355477.607796502,5757,0,630,0,0,4928,0,0,156,0,0,1149,92,32,0,4452,33,2505,2683,268,0,85,986,2276,1633,531,81,36,0,0,0,5654,0,104,1669,1239,1957,394,262,0,1282,1470,1214,1097,320,95,0,6,918,376,2770,1650,91,309,41,18,9,0,127,2617,842,1650,1233,1022,119,3123,41,4,446,36,289,3866,1061,2759,1184,314,157,3,0,0,372,241,3,12,0,272,114,0,0,0,0,0,0,0,0,1919,565,225,16,0,616,207,1926,5590,2675,1575,721,461,135,2675,1646,3,642,401,16,135,2675,2003,585,255,22,0,0,0,0,10119,793,541,1783,1436,1419,1165,1017,1423,496,1237,1910,2858,1661,2456,4770,3585,695,1058,15,0,0,4,9175,356,135,316,65,5020,5094,312,943,8845,9553,136,104,251,19,9553,3,6,0,0,0,0,0,52,3,12,25,12,352,9553,545,9961,114,0,19,CommercialBuildingArea_Residential_SpecialUseArea,12,Berlin,621,6436,9083,9048,0,0,0.0,9810,105,12372.570635894162,13295.6276833381,5357830.604980135,5354779.80691911
61,61,5352015.500619105,5355614.50232318,5377905.063572967,5351934.293252881,12218,0,3990,0,0,7787,0,0,277,0,0,1259,148,0,0,10750,3,2746,5717,2012,0,180,1837,3300,3180,2047,849,350,0,0,0,12010,99,93,461,1433,712,3927,4234,64,1414,5737,867,2421,463,616,64,36,4333,1340,3686,2717,2592,729,398,512,30,10,838,1873,2365,2717,5047,700,130,5769,77,0,3824,597,1198,3742,2801,7926,2688,1429,837,3,0,0,613,626,34,33,34,722,279,0,0,0,0,0,0,0,0,4299,2208,1047,162,21,952,619,6213,11892,3693,3397,3199,1229,177,3693,5073,3,1439,1082,103,177,3693,4273,2278,1114,201,39,0,0,0,25886,2528,2622,3243,3167,5166,3724,2538,2062,734,4662,3769,8340,5021,4177,11143,11086,1107,2432,34,0,0,0,23984,675,442,426,117,12768,13109,1017,3196,21601,25183,242,221,111,0,25183,4,0,0,3,0,0,3,116,16,18,84,6,219,25183,637,25114,703,0,0,Residential_SpecialUseArea,14,Berlin,2946,26606,2990,22178,179,259,0.0,23610,811,51945.31931173464,17091.04515316065,5354286.279359509,5351237.057719861
62,62,5353437.014934123,5357037.389813814,5379340.5272749895,5353356.007219626,9298,0,1326,0,0,7603,0,3,323,0,0,2251,137,0,0,6869,37,4204,3956,571,0,251,1966,3507,2303,806,162,74,0,0,0,9158,32,107,2123,3139,2407,203,979,0,2400,2531,1209,1340,818,480,43,38,2119,253,4827,2021,406,113,445,87,31,30,1399,3439,1231,2021,2201,1455,123,5096,116,3,1015,170,1733,4926,1430,4156,1763,492,206,6,0,0,547,320,22,12,6,433,159,0,0,0,0,0,0,0,0,2873,862,336,18,3,910,326,2892,8968,4569,2330,1133,684,225,4569,2496,6,927,603,46,225,4569,2988,905,375,24,12,0,0,0,15251,1138,833,2346,2102,2542,1914,1584,1914,831,1825,2524,4649,2653,3612,6955,5482,1004,1775,38,0,0,0,14336,406,172,206,64,7498,7756,522,1511,13200,14834,118,119,125,0,14834,6,0,0,0,0,0,0,42,3,37,3,15,202,14834,410,15116,108,0,0,CommercialBuildingArea_Residential,10,Berlin,1266,7137,12291,23987,121,8,11.0,16465,280,19201.936786812792,15436.204066159193,5355708.738450299,5352658.355129662
63,63,5349730.45992594,5353329.290545032,5375618.325016612,5349649.227638659,4902,0,2925,0,0,1796,0,0,56,0,0,418,0,0,0,4468,4,604,1564,1451,0,20,155,1023,1235,1299,641,210,0,0,0,4815,19,58,363,1595,397,403,1302,72,422,3487,651,3,73,26,0,0,3425,431,864,97,2501,319,235,547,30,43,885,159,45,97,88,805,24,3451,305,0,3099,688,939,166,64,3454,1538,513,399,0,0,0,190,119,0,0,12,111,33,0,0,0,0,0,0,0,0,2074,866,364,15,0,592,380,2396,4809,1239,1802,1306,283,49,1239,2589,0,449,211,15,49,1239,2011,887,418,66,3,0,0,0,10712,760,870,985,1096,2190,1685,1425,1177,453,1492,1165,3263,2363,2455,3722,5483,632,805,30,0,0,0,10193,186,42,65,24,5228,5485,357,1221,9090,10563,29,22,24,0,10563,0,3,0,0,0,0,0,6,3,3,6,0,45,10563,88,10609,74,0,0,CommercialBuildingArea_Residential,7,Berlin,4014,17990,8014,30849,0,77,0.0,4275,176,32415.474491603964,19388.8135097233,5352001.120866457,5348952.044131754
64,64,5356238.143980909,5359839.78809516,5382154.523295418,5356157.320930317,11206,0,364,0,0,10417,6,0,355,0,0,1436,121,0,16,9594,72,5662,4452,596,0,305,1765,5182,3058,608,91,30,0,0,0,10988,105,107,3916,3045,2772,222,834,23,1581,2540,735,0,1364,1070,3237,115,790,89,9629,632,160,10,43,9,0,24,948,6220,3069,632,704,1730,88,8284,95,18,216,41,1038,6464,3369,4500,1359,517,123,0,0,0,890,468,9,42,6,690,218,0,0,0,0,0,0,0,0,3046,973,361,60,12,640,245,3593,10844,5976,2265,1201,1033,340,5976,2048,0,1388,920,73,340,5976,3259,1021,406,90,15,0,0,0,18183,1743,1163,3863,2919,2887,1973,1296,1577,713,2679,4101,5822,2602,2975,10245,4797,950,2119,39,0,0,0,16767,557,346,325,134,8955,9216,813,1715,15651,17383,271,263,215,9,17383,28,0,12,0,0,0,9,125,3,32,27,12,401,17383,797,17801,357,0,9,CommercialBuildingArea_Residential_SpecialUseArea,7,Berlin,789,15782,25429,9254,0,32,0.0,30681,338,38186.05477288423,12675.993354510543,5358510.740853103,5355459.283665129
65,65,5350356.762005175,5353958.988065961,5376279.176927122,5350276.023471049,33749,0,4738,0,0,27789,0,13,883,0,0,3497,591,0,11,29450,307,12785,15122,2888,0,609,3832,10967,12009,4011,984,493,0,0,0,33306,93,327,3741,6466,10210,6630,4393,30,4166,8478,7989,18,3210,1090,7121,41,9165,1114,21981,1241,2631,542,715,724,90,60,4009,14527,8930,1241,5794,6490,374,19342,722,37,3966,979,4144,15236,9306,17392,7860,1850,1090,3,0,0,1831,1235,38,60,66,1560,783,0,0,0,0,0,0,0,0,12051,3492,1401,130,30,4200,1631,11481,32755,14591,9874,4635,2775,637,14591,11004,3,3391,2480,177,637,14591,12278,3655,1568,204,61,0,0,0,59645,4611,3510,7599,6659,9027,8211,7433,8842,3632,7539,8253,15701,11472,16670,24120,24232,4591,6600,107,0,0,0,56335,1644,453,581,211,28280,31336,1916,5816,51869,58644,347,179,261,0,58644,3,6,6,0,3,0,0,151,6,30,19,21,413,58644,934,58892,633,0,0,CommercialBuildingArea_MixedUseArea_Residential_SpecialUseArea,35,Berlin,2224,48303,65787,91140,0,269,5.0,67751,641,40070.06194786793,18621.31458714115,5352629.759010933,5349577.810029525
66,66,5349821.770877953,5353425.882807718,5375763.396526166,5349741.306817399,9484,0,1353,0,0,7884,3,0,177,0,0,1222,77,60,0,8073,22,3342,4390,932,0,55,691,3072,3862,1129,297,115,0,0,0,9290,0,188,2129,1691,4038,146,778,20,1382,2588,2226,0,173,67,2551,34,2024,574,6430,379,454,148,123,275,81,75,2498,4792,520,379,1015,2322,11,5770,50,0,842,485,2600,4974,561,5223,2395,689,280,0,0,0,511,382,12,13,15,410,197,0,0,0,0,0,0,0,0,3557,1037,487,40,0,1495,417,3260,9280,3818,2939,1484,773,181,3818,3439,0,960,677,44,181,3818,3629,1076,512,59,15,0,0,0,17636,1427,1044,1485,1990,2966,2105,2080,3173,1319,2319,1655,4967,2976,5738,6529,7590,1577,1926,27,0,0,0,16685,521,100,84,98,8082,9528,694,2419,14512,17352,103,55,33,0,17352,0,0,0,0,0,0,0,29,0,3,3,3,103,17352,258,17498,85,0,0,CommercialBuildingArea_MixedUseArea_Residential_SpecialUseArea,12,Berlin,1005,6231,8723,12151,0,101,0.0,28982,88,9072.011132293292,19707.075503678363,5352096.065411836,5349042.52122374
67,68,5348547.664396094,5352147.717907943,5374447.99833447,5348466.609832935,3001,0,646,0,0,2277,0,3,34,0,0,631,24,0,0,2337,56,1104,1086,324,0,75,397,741,1005,459,110,72,0,0,0,2961,0,36,593,446,973,221,499,3,657,1196,737,6,163,24,74,3,1890,217,729,138,405,84,21,97,18,6,426,1401,371,138,150,1048,0,1653,25,0,519,149,445,1437,446,1655,831,182,68,0,0,0,135,100,0,0,0,119,40,0,0,0,0,0,0,0,0,1192,295,111,12,0,459,144,1014,2943,1212,1000,422,200,38,1212,1152,0,261,178,15,38,1212,1195,306,144,15,0,0,0,0,5450,372,307,509,620,932,734,657,976,298,632,568,1564,1035,1646,1986,2522,379,533,6,0,0,0,5154,148,19,24,18,2632,2815,181,597,4656,5358,33,9,9,0,5358,0,0,0,0,0,0,0,3,0,3,0,3,42,5358,76,5406,25,0,0,Residential_SpecialUseArea,8,Berlin,1364,20706,34369,29882,31,428,0.0,4296,137,20543.099751497262,20346.374597497248,5350819.166602531,5347769.055520495
68,70,5343339.657979964,5346939.534748674,5369238.291871817,5343258.577589908,1892,0,1225,0,0,531,0,6,33,0,0,199,3,0,0,1688,3,82,496,550,0,6,48,333,491,396,245,143,0,0,0,1844,0,29,145,558,124,219,441,6,204,1579,0,0,12,35,0,0,1532,212,81,29,1018,169,6,244,28,3,301,60,18,29,74,235,6,1423,30,0,1228,301,304,69,18,1326,610,149,121,0,0,0,76,30,3,0,3,34,12,0,0,0,0,0,0,0,0,833,310,108,3,0,238,170,848,1825,437,729,427,103,19,437,990,0,149,81,6,19,437,804,316,135,0,3,0,0,0,4045,259,326,284,357,767,680,599,497,143,574,319,1143,982,1002,1348,2120,208,313,6,0,0,0,3799,75,18,25,9,1967,2048,127,580,3281,3978,15,6,9,0,3978,0,0,0,0,0,0,0,9,0,3,0,0,13,3978,54,4002,25,0,0,Residential,7,Berlin,260,622,15481,7015,0,0,0.0,3563,94,17541.584230578934,25561.663199119423,5345611.038362959,5342561.077208441
69,71,5360301.426533097,5363908.170176284,5386269.654201967,5360221.346090394,58018,0,2141,3,0,53258,83,0,2406,0,0,2214,78,982,181,54382,2202,20381,31316,2162,0,742,9155,14643,19950,10147,2560,228,0,0,0,53268,4578,114,38,404,3626,49020,2881,18,3498,2410,21986,0,10773,2137,15369,16,3555,768,45034,8447,1069,216,98,261,9,17,563,12001,35002,8447,34108,358,1608,21114,27,0,1400,334,596,13539,41917,28724,12523,3265,2408,0,3,0,2330,2113,75,167,178,3604,1473,0,0,0,0,0,0,0,0,18792,6367,2544,624,197,3770,2397,22508,55492,25635,14920,8085,5672,1050,25635,18266,3,4688,5123,446,1050,25635,19382,6553,2702,731,241,0,0,0,102047,9497,7083,16126,12147,12634,19581,13312,8263,3387,15088,17650,24777,27148,17378,44171,40275,5491,11969,94,0,3,3,89029,2548,4110,5318,806,50036,51998,3355,8286,90400,97258,769,1580,2215,26,97258,15,9,6,214,0,0,3,329,55,669,142,154,2632,97258,4753,95450,6525,3,31,CommercialBuildingArea_MixedUseArea_Residential,19,Berlin,1789,41917,8123,29341,2,2299,0.0,112039,1184,94567.67419730258,12612.52538800606,5362577.532347363,5359521.761165312
70,72,5357398.655923884,5361003.480388275,5383347.39378421,5357318.295811123,11830,0,6138,6,0,5185,23,0,238,0,0,1216,30,65,0,10453,683,1903,3960,3021,0,406,568,2497,3427,2560,1144,523,0,0,0,11250,474,67,232,2125,1526,3278,3094,171,1333,6929,516,175,993,208,1313,3,5734,1326,3077,1532,3868,1162,543,945,94,22,1229,1030,1332,1532,2829,1330,45,7048,70,0,5647,1142,1262,1265,2575,7499,3481,985,986,3,0,0,425,274,9,15,22,233,136,0,0,0,0,0,0,0,0,4680,1754,740,47,3,1086,677,5486,11494,3736,4090,2663,575,125,3736,5652,3,977,469,43,125,3736,4607,1863,834,76,6,0,0,0,24245,1594,1588,2975,2425,4356,4587,3135,2418,958,2905,3370,6829,6199,4999,8759,12087,1316,1977,41,0,0,3,22121,646,391,599,173,11869,12365,843,2363,20927,23408,199,160,321,16,23408,0,6,0,3,0,9,3,49,3,52,9,15,497,23408,737,23669,475,0,17,CommercialBuildingArea_MixedUseArea_Residential_SpecialUseArea,20,Berlin,890,16009,55283,17118,4,25,0.0,35082,718,81262.45074639727,13045.312553957398,5359673.441054376,5356619.293527836
71,73,5355533.887226313,5359139.208682125,5381487.721204736,5355453.599452881,8248,0,5360,0,0,2542,0,0,90,0,0,826,41,0,0,7351,22,679,2714,2792,0,78,439,1552,2204,2054,1070,432,0,0,0,8087,23,113,390,1900,610,1674,2514,26,887,6460,12,114,17,470,14,21,5706,978,1265,230,3755,779,320,999,103,6,1029,788,234,230,788,1089,15,5842,54,0,4938,1185,1114,836,281,5928,2562,885,840,0,0,0,252,242,12,6,3,173,120,0,0,0,0,0,0,0,0,3418,1643,622,18,9,806,515,4443,8056,1954,2967,2413,467,88,1954,4484,0,713,402,9,88,1954,3351,1679,712,48,21,0,0,0,18288,1320,1465,2057,1783,3810,3529,2169,1569,437,2588,2340,5613,4605,3208,6666,9559,660,1246,19,0,0,0,17448,245,103,124,45,8974,9294,615,1874,15737,18072,37,31,30,0,18072,0,0,0,6,0,0,0,6,0,3,3,9,62,18072,133,18070,172,0,0,Residential,4,Berlin,625,5186,45667,6914,4,0,0.0,28483,191,13442.72038702252,15058.068716622702,5357809.014242155,5354754.446462557
72,74,5353993.425873622,5357599.522799819,5379955.186091607,5353913.251033549,11785,0,8720,0,0,2619,0,0,123,0,0,993,105,0,3,10636,6,646,3370,4609,0,40,378,1804,3118,3334,1668,767,0,0,0,11604,12,131,484,2820,995,1633,4093,123,1134,10219,0,27,50,105,6,5,9381,1692,382,203,6582,1369,169,1495,129,0,1338,483,70,203,186,1757,33,9031,86,0,8179,1745,1430,570,72,8831,3928,1321,1279,0,0,0,450,212,24,0,9,144,109,0,0,0,0,0,0,0,0,5187,2353,958,30,0,1174,810,6522,11526,2445,4605,3535,522,84,2445,6766,0,1093,391,36,84,2445,4993,2444,1095,90,12,0,0,0,26522,1734,2073,2707,2424,5789,5073,3372,2435,665,3595,3128,8211,6747,4971,9059,14270,1081,1880,61,0,0,0,25327,390,135,171,52,13189,13339,725,2597,23076,26235,42,23,61,0,26235,3,14,0,0,0,0,0,13,0,3,3,0,79,26235,182,26244,205,0,0,CommercialBuildingArea_Residential_SpecialUseArea,5,Berlin,1142,6537,48870,20476,148,64,0.0,41685,308,22688.8459081092,16993.747611172243,5356269.086411338,5353213.862788872
73,75,5356968.472997057,5360575.876222421,5382943.481309369,5356888.488607065,41853,0,809,0,0,38706,0,0,2247,0,0,5597,92,253,202,35490,260,16213,23718,489,0,2840,6684,14077,12974,4343,442,43,0,0,0,41815,0,21,199,579,432,37749,1216,3,6209,1423,12804,13905,5526,371,116,0,763,486,19083,21320,51,38,31,24,0,6,278,12957,6861,21320,30776,59,1197,7475,713,856,130,45,467,24278,16663,20452,6508,2217,1698,6,0,0,2498,1853,130,154,123,3448,1528,0,0,0,0,0,0,0,0,12979,5079,1854,312,94,1968,1065,17394,39615,18062,9026,5980,5439,1053,18062,10429,6,4553,4969,383,1053,18062,13614,5256,2013,396,115,0,0,0,72846,7215,5613,15139,7962,12571,11611,5725,4911,2122,11346,16628,20537,14735,9618,36323,23539,3544,9376,87,0,0,0,66769,1470,1868,2242,386,35028,37816,1991,4998,65859,70774,456,658,752,6,70774,6,12,0,61,0,0,3,184,8,238,60,61,1038,70774,2049,69846,2980,0,15,MixedUseArea_Residential,6,Berlin,747,20400,18497,20783,28,287,3.0,20732,464,39477.21299554352,15731.443613941668,5359245.032530954,5356188.703679
74,76,5359364.180343898,5362967.651949584,5385299.10593925,5359283.623303722,29034,0,537,0,0,27635,0,0,737,0,0,1715,340,23,155,26657,1298,11602,14664,522,0,1018,4446,10819,9262,2845,231,70,0,0,0,28650,336,38,912,2454,16611,6804,1167,16,2260,1432,8097,8720,5748,855,633,8,4863,2393,18527,3086,90,11,21,36,19,0,1232,7507,16775,3086,19112,847,439,8045,45,5,132,66,1240,8677,18707,13249,6478,1347,708,0,3,0,1468,824,18,67,64,1262,741,0,0,0,0,0,0,0,0,9654,2334,932,169,75,3591,1210,8420,28249,14142,7998,3013,2236,843,14142,8581,3,2400,2000,190,843,14142,10142,2559,996,208,90,0,0,0,48377,3464,2658,7598,5588,5871,6035,6577,7536,3027,5524,8206,11457,8936,14238,20167,18839,4044,5243,58,0,0,0,41908,1796,1737,2321,551,22974,25406,1679,3922,42775,44998,650,1126,1495,36,44998,88,0,15,18,0,3,0,215,46,345,89,83,2185,44998,3371,46302,1996,3,39,Residential,9,Berlin,665,25797,18,2638,0,91,0.0,29159,412,34377.194997883045,10342.205114458617,5361638.034716882,5358585.031409737
75,77,5357394.71545472,5360997.412137722,5383321.78851628,5357314.045579058,11793,0,2128,0,0,9335,0,0,235,0,0,2421,81,6,202,8986,609,3384,5052,1643,0,661,876,3694,3953,1416,519,320,0,0,0,10951,692,133,2624,3889,2440,1013,909,54,2738,3617,624,2489,493,287,769,85,3753,981,5940,1001,793,286,185,358,87,22,2412,5362,1061,1001,1414,2074,456,7245,8,0,1314,532,2479,5536,1826,6311,2233,1108,420,6,0,0,788,587,12,12,21,518,219,0,0,0,0,0,0,0,0,3801,1544,782,49,0,923,436,4884,11503,4848,3084,2271,910,284,4848,3840,6,1505,786,69,284,4848,3845,1690,834,84,18,0,0,0,22156,2352,1505,3284,3348,3910,2815,2021,1896,936,3573,3557,7267,3768,3954,10611,8423,1224,1854,48,0,0,3,20305,673,359,437,216,10680,11446,1046,2411,18664,21183,274,271,301,9,21183,20,12,0,3,3,3,4,60,10,86,18,51,520,21183,954,21773,319,0,9,CommercialBuildingArea_Residential,9,Berlin,556,24739,407,3218,0,0,0.0,36571,189,26594.098334804283,11818.083336734073,5359668.036566665,5356615.688921546
76,78,5361723.442331041,5365327.433948109,5387663.618146337,5361642.961052601,19165,0,516,0,0,17660,0,0,896,0,0,1061,294,0,0,17720,520,7955,9356,681,0,689,3673,5957,6217,2085,254,34,0,0,0,18347,507,304,2222,4809,8746,2218,262,53,1381,1944,2951,6012,4649,824,373,27,1533,1743,14066,1695,55,0,86,9,0,8,934,7373,8847,1695,11912,1346,541,4880,41,0,150,42,974,7943,9941,8099,2957,956,443,6,0,0,1398,696,12,39,37,928,421,0,0,0,0,0,0,0,0,5521,1681,698,100,41,1382,578,6108,18254,9309,4383,2181,1525,822,9309,4400,6,2134,1369,104,822,9309,5936,1933,783,151,69,0,0,0,32445,2578,1830,7020,5093,4761,3647,3067,3059,1374,3990,7439,9863,5032,6120,16986,10310,1882,3176,76,0,0,0,27189,1583,1292,1836,489,15914,16525,1679,2620,28142,29170,995,939,1230,38,29170,173,6,21,15,6,6,0,415,15,231,63,83,1991,29170,3284,31008,1351,3,41,CommercialBuildingArea_Residential,17,Berlin,852,19511,6,1270,0,720,0.0,49691,427,37708.55026168552,8670.315615321151,5363997.654599284,5360944.211227736
77,79,5362553.063495222,5366161.470035651,5388538.186207021,5362473.225525371,552,0,342,0,0,180,0,0,7,0,0,15,0,0,0,528,3,56,131,192,0,14,32,94,111,121,78,30,0,0,0,524,0,20,72,57,21,45,207,15,15,389,0,0,0,0,101,0,234,74,161,64,150,67,118,28,4,9,46,30,0,64,15,111,0,299,68,0,345,57,97,33,0,411,137,79,72,0,0,0,12,14,3,0,3,6,15,0,0,0,0,0,0,0,0,183,142,57,6,0,21,18,358,539,99,155,210,36,0,99,305,0,41,27,3,0,99,190,149,59,6,0,0,0,0,1294,91,110,182,121,318,269,99,57,24,181,216,446,324,137,518,662,32,81,3,0,0,0,1231,13,14,17,0,670,624,28,66,1194,1283,0,5,0,0,1283,0,0,0,0,0,0,0,0,0,0,0,0,5,1283,5,1266,32,0,0,Residential,3,Berlin,204,7073,39,1722,1,584,0.0,20904,151,17489.59620666249,13461.911192551664,5364830.3136740895,5361773.135677951
78,80,5366017.312585935,5369624.198672939,5391986.883482084,5365937.253046073,194,0,67,0,0,117,0,0,6,0,0,3,0,0,0,185,6,25,45,32,0,0,17,34,54,39,17,12,0,0,0,180,0,12,55,41,56,6,7,0,6,113,0,53,0,0,0,3,103,36,36,3,33,10,8,29,4,3,73,0,0,3,4,26,0,135,3,0,63,39,75,0,0,124,52,16,6,0,0,0,9,9,3,0,0,3,0,0,0,0,0,0,0,0,0,73,23,6,0,0,14,15,90,189,63,62,39,16,3,63,80,0,27,15,3,3,63,66,22,12,0,0,0,0,0,491,48,33,43,51,97,92,63,38,11,76,50,149,128,90,207,178,19,78,3,0,0,0,446,13,0,12,0,270,221,12,72,402,482,0,0,0,0,482,0,0,0,0,0,0,0,0,0,0,0,0,3,482,6,478,3,0,0,Residential,1,Berlin,53,2088,79,767,0,1,0.0,12192,12,1364.428354566537,9915.655891673005,5368293.516662952,5365237.624531835
